node1	node2	edge	edge_descrip	layer_descrip
AT1G01370	AT1G57820	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G03130	AT1G52220	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G03190	AT1G05055	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G03530	AT3G57150	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G04020	AT4G21070	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G05020	AT5G22780	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G07660	AT4G31120	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G09340	AT3G63140	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G14320	AT5G16000	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G32400	AT4G21790	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G47710	AT5G04200	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G50940	AT5G43430	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G52410	AT3G18730	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G55670	ATCG00340	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G56160	AT1G73730	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G59820	AT3G12740	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G66840	AT2G26570	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G73080	AT5G64900	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G73250	AT3G51160	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G79280	AT4G15880	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G80350	AT5G10470	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G04400	AT3G22440	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G05440	AT4G34230	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G06925	AT3G28910	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G13650	AT4G18220	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G14120	AT4G33650	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G16900	AT3G25980	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G17730	AT5G15700	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G24490	AT2G36490	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G24765	AT5G66030	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G26350	AT3G03490	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G30950	AT5G42270	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G31190	AT3G45890	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G39340	AT3G50360	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G40950	AT5G19660	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G45140	AT5G02100	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G46700	AT5G37600	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT2G46820	AT4G12800	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G02230	AT5G15650	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G02680	AT5G54260	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G03000	AT5G27150	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G06930	AT5G49020	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G13170	AT4G14180	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G21865	AT5G25760	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G24500	AT4G17770	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G25500	AT5G55000	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G28730	AT4G10710	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G44880	AT4G37000	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G48090	AT3G52430	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G49500	AT5G23570	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G56370	AT5G12900	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G59400	AT5G13630	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT3G62800	AT5G20320	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G03280	AT4G39710	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G17380	AT4G35520	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G18370	AT5G39830	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G21800	AT5G22370	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G24972	AT5G07280	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G27180	AT5G54670	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT4G27230	AT5G22880	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT5G40160	AT5G66055	4.40001558779779	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G05180	AT5G19180	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G05560	AT1G05570	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G09200	AT5G09790	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G09200	AT5G24330	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G12840	AT5G41990	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G13980	AT2G29960	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G15550	AT3G55560	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G15550	AT4G35390	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G28200	AT2G46370	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G29962	AT2G40210	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G35580	AT3G09920	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G48380	AT5G24630	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G51500	AT4G03560	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G64860	AT3G56710	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G65620	AT3G44530	4.36059163184669	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
