node1	node2	edge	edge_descrip	layer_descrip
AT1G09010	AT3G54440	4.522599997219849	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT3G44890	AT5G53070	4.52259999238728	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT2G03780	AT2G37020	4.522599992212291	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G16970	AT1G48050	4.522599991351231	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G60990	AT4G12130	4.52259997531078	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT3G23900	AT5G49150	4.52259996751879	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G74260	AT3G55010	4.52259996109582	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G21640	AT1G78590	4.52259995744237	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT3G06810	AT3G51840	4.52259993557253	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT2G44040	AT5G52100	4.5225999110160595	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT3G59890	AT5G52100	4.5225999110160595	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G03140	AT2G41500	4.5225998984964	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G70570	AT5G17990	4.52259987931322	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G14850	AT2G05120	4.52259987931322	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT2G01110	ATMG00570	4.52259987931322	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
ATMG00830	ATMG00960	4.52259986680533	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT2G07768	ATMG00830	4.52259986680533	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT3G02260	AT5G02310	4.5225998618476	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT2G25840	AT3G04600	4.52259983963471	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G12244	AT3G52905	4.52259982185694	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT2G21370	AT5G49650	4.52259981035664	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G70730	AT1G70820	4.52259980625104	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G70730	AT5G17530	4.52259980625104	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G70820	AT5G51820	4.52259980625104	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G23190	AT1G70820	4.52259980625104	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G23190	AT5G17530	4.52259980625104	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT5G17530	AT5G51820	4.52259980625104	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT4G04460	AT5G01800	4.52259979519355	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT3G51730	AT4G04460	4.52259979519355	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G62290	AT3G51730	4.52259979519355	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G62290	AT5G01800	4.52259979519355	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G11910	AT3G51730	4.52259979519355	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G11910	AT5G01800	4.52259979519355	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT5G19720	AT5G26710	4.522599789516651	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT2G46580	AT5G49970	4.52259976532705	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT1G08550	AT3G47860	4.5225997560926	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
AT3G28956	AT4G15950	4.52259973899696	AraNetv2_log-likelihood-score	AraNetv2-DC_domain-co-occurrence
