node1	node2	edge	edge_descrip	layer_descrip
AT1G04100	AT5G43700	5.71517296953967	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G17600	AT4G29080	5.683750944458231	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G52830	AT4G29080	5.683750944458231	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G04730	AT5G25890	5.65642814244488	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G14560	AT5G25890	5.645992506102769	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04240	AT3G17600	5.6443530446012495	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G04730	AT4G29080	5.642743092529909	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G23050	AT5G25890	5.63654063523401	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G14560	AT4G29080	5.632126572542161	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G51950	AT3G17600	5.62928310609949	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G51950	AT2G22670	5.62928310609949	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G04730	AT4G14560	5.619919836232799	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G23030	AT5G25890	5.61991815584928	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04100	AT5G25890	5.61991815584928	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04240	AT3G04730	5.601224889668059	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G04730	AT3G23030	5.592984978198969	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G04730	AT3G15540	5.592984978198969	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04240	AT4G14560	5.59005188750519	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G15540	AT4G14560	5.5817002374037	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G51950	AT4G14560	5.57394328045491	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04100	AT3G23050	5.5714753710054	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G51950	AT3G23050	5.5636236382289805	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04240	AT3G23030	5.56211806306596	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04240	AT1G51950	5.55417926327212	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04100	AT3G23030	5.55348476102504	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04100	AT3G15540	5.55348476102504	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G04100	AT1G51950	5.54546536352679	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G76540	AT2G27960	5.50541111433519	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G04730	AT4G28640	5.500978839238679	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G15540	AT4G28640	5.457009896028991	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G54820	AT4G00430	5.11989979042076	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G16850	AT4G00430	5.0719181977269105	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G01620	AT3G54820	4.88423311053303	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G37180	AT4G23400	4.8410304861387	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G00430	AT4G35100	4.83990261957026	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G54820	AT4G23400	4.75761757929654	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT5G39730	AT5G50130	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT5G23220	AT5G23230	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT5G15650	AT5G16510	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT5G14700	AT5G48930	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT5G03300	AT5G20810	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G38550	AT5G44070	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G27270	AT5G58800	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G19840	AT5G62630	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G19170	AT5G56760	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G15802	AT5G61865	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G14430	AT4G14440	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G08570	AT5G49990	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G01580	AT4G18040	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT4G01060	AT4G23670	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G59050	AT5G19920	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G51660	AT5G64160	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G46320	AT5G38110	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G29350	AT3G57040	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G12510	AT5G55690	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G11630	AT5G06290	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G11470	AT4G25050	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G08880	AT3G12280	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G06810	AT5G46030	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G04000	AT4G13180	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G02470	AT3G08710	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT3G01500	AT5G67480	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G47590	AT5G57170	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G46900	AT4G13020	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G44620	AT4G04320	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G43640	AT3G49100	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G36840	AT4G35860	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G30520	AT5G66280	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G26740	AT3G51000	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G23580	AT5G58310	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G22240	AT4G39800	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G21385	AT2G48120	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G13360	AT3G14415	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT2G03430	AT5G58290	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G80560	AT5G14200	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G79020	AT5G64610	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G72370	AT3G53890	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
AT1G70780	AT3G19640	4.73730974575911	AraNetv2_log-likelihood-score	AraNetv2-HT_high-throughput-ppi
